blz,bankname,lkz
10000000,Bundesbank,DE
10010010,Postbank,DE
10010111,SEB,DE
10010222,"The Royal Bank of Scotland, Niederlassung Deutschland",DE
10010424,Aareal Bank,DE
10019610,Dexia Kommunalbank Deutschland,DE
10020000,Berliner Bank -alt-,DE
10020200,BHF-BANK,DE
10020400,Citadele Bank Zndl Deutschland,DE
10020500,Bank für Sozialwirtschaft,DE
10020890,UniCredit Bank - HypoVereinsbank,DE
10030200,Berlin-Hannoversche Hypothekenbank,DE
10030400,ABK-Kreditbank,DE
10030500,Bankhaus Löbbecke,DE
10030600,North Channel Bank,DE
10030700,Gries & Heissel - Bankiers,DE
10033300,Santander Consumer Bank,DE
10040000,Commerzbank Berlin (West),DE
10040048,Commerzbank GF-B48,DE
10040060,Commerzbank Gf 160,DE
10040061,Commerzbank Gf 161,DE
10040062,Commerzbank CC,DE
10040063,Commerzbank CC,DE
10045050,Commerzbank Service-BZ,DE
10050000,Landesbank Berlin - Berliner Sparkasse,DE
10050005,Landesbank Berlin - E 1 -,DE
10050006,Landesbank Berlin - E 2 -,DE
10050007,Landesbank Berlin - E 3 -,DE
10050008,Landesbank Berlin - E 4 -,DE
10050020,"LBB S-Kreditpartner, Berlin",DE
10050021,LBB S-Kreditpartner Bad Homburg v d Höhe,DE
10050500,LBS Ost Berlin,DE
10050600,WestLB Berlin,DE
10050999,DekaBank Berlin,DE
10060198,Pax-Bank,DE
10060237,Evangelische Darlehnsgenossenschaft,DE
10061006,Bank für Kirche und Diakonie - KD-Bank Gf Sonder-BLZ,DE
10070000,Deutsche Bank Fil Berlin,DE
10070024,Deutsche Bank Privat und Geschäftskunden F 700,DE
10070100,Deutsche Bank Fil Berlin II,DE
10070124,Deutsche Bank Privat und Geschäftskd Berlin II,DE
10070848,Berliner Bank Niederlassung der Deutsche Bank PGK,DE
10077777,norisbank,DE
10080000,Commerzbank vormals Dresdner Bank Filiale Berlin I,DE
10080005,Commerzbank vormals Dresdner Bank Zw A,DE
10080006,Commerzbank vormals Dresdner Bank Zw B,DE
10080055,Commerzbank vormals Dresdner Bank Zw 55,DE
10080057,Commerzbank vormals Dresdner Bank Gf ZW 57,DE
10080085,Commerzbank vormals Dresdner Bank Gf PCC DCC-ITGK 3,DE
10080086,"Commerzbank vormals Dresdner Bank, PCC DCC-ITGK 4",DE
10080087,"Commerzbank vormals Dresdner Bank, PCC DCC-ITGK 5",DE
10080088,Commerzbank vormals Dresdner Bank IBLZ,DE
10080089,"Commerzbank vormals Dresdner Bank, PCC DCC-ITGK 6",DE
10080900,Commerzbank vormals Dresdner Bank Filiale Berlin III,DE
10089260,Commerzbank vormals Dresdner Bank ITGK,DE
10089999,Commerzbank vormals Dresdner Bank ITGK 2,DE
10090000,Berliner Volksbank,DE
10090300,Bank für Schiffahrt (BFS) Fil d Ostfr VB Leer,DE
10090603,apoBank,DE
10090900,PSD Bank Berlin-Brandenburg,DE
10110300,Bankhaus Dr. Masel,DE
10110400,Investitionsbank Berlin,DE
10110600,quirin bank,DE
10120100,Weberbank,DE
10120600,Santander Consumer Bank,DE
10120760,UniCredit Bank - HypoVereinsbank Ndl 260 BIn,DE
10120800,VON ESSEN Bankgesellschaft,DE
10120900,readybank,DE
10120999,readybank Gf GAA,DE
10130600,Isbank Fil Berlin,DE
10130800,BIW Bank,DE
10220600,Sydbank Filiale Berlin,DE
10310600,Tradegate Wertpapierhandelsbank Berlin,DE
12016836,KfW Kreditanstalt für Wiederaufbau,DE
12030000,Deutsche Kreditbank Berlin,DE
12030900,Merck Finck & Co,DE
12040000,Commerzbank Berlin Ost,DE
12050555,NLB FinanzIT,DE
12060000,DZ BANK,DE
12070000,Deutsche Bank Ld Brandenburg,DE
12070024,Deutsche Bank Privat und Geschäftskunden,DE
20730033,UniCredit Bank - HVB Settlement EAC33,DE
20730034,UniCredit Bank - HVB Settlement EAC34,DE
20730035,UniCredit Bank - HVB Settlement EAC35,DE
20730036,UniCredit Bank - HVB Settlement EAC36,DE
20730037,UniCredit Bank - HVB Settlement EAC37,DE
20730038,UniCredit Bank - HVB Settlement EAC38,DE
20730039,UniCredit Bank - HVB Settlement EAC39,DE
20730040,UniCredit Bank - HVB Settlement EAC40,DE
37020400,TOYOTA Kreditbank,DE
37020500,Bank für Sozialwirtschaft,DE
37020599,Bank für Sozialwirtschaft Köln Gf,DE
37020600,Santander Consumer Bank MG,DE
37020900,Ford Bank Ndl. der FCE Bank,DE
37021100,Mazda Bank Niederlassung der FCE Bank,DE
37021200,Volvo Auto Bank,DE
37021201,Volvo Auto Bank - Direktbank,DE
37021300,Jaguar Financial Services Ndl der FCE Bank,DE
37021400,Land Rover Financial Services Ndl der FCE Bank,DE
37030200,"Oppenheim, Sal - jr & Cie",DE
37030700,abcbank Niederlassung Köln,DE
37030800,Isbank Fil Köln,DE
37040044,Commerzbank,DE
38260082,Volksbank Euskirchen,DE
50210900,Citigroup Global Markets Deutschland,DE
50220085,UBS Deutschland,DE
50220200,Bethmann Bank (Vormals LGT Bank Deutschland),DE
50220500,Bank of Scotland,DE
50220900,Hauck & Aufhäuser Privatbankiers,DE
50230000,ABC International Bank Frankfurt am Main,DE
50230100,Morgan Stanley Bank Internaional,DE
50230300,FCB Firmen-Credit Bank,DE
50230400,"The Royal Bank of Scotland, Niederlassung Deutschland",DE
50230600,Isbank,DE
50230700,"Metzler, B. - seel Sohn & Co",DE
50230800,Ikano Bank,DE
50250200,Deutsche Leasing Finance,DE
50310400,Barclays Bank Frankfurt,DE
50310455,Reiseschecks - Barclays Bank Frankfurt,DE
50310900,China Construction Bank Ndl Frankfurt,DE
50320000,VTB Bank (Deutschland),DE
50320191,UniCredit Bank - HypoVereinsbank,DE
50320500,Banco Santander Filiale Frankfurt,DE
50320600,Attijariwafa bank Europa ZNdl. Frankfurt,DE
50320900,Pictet & Cie (Europe) Ndl Frankfurt am Main,DE
50324000,"ABN AMRO Bank, Frankfurt Branch",DE
50324040,"ABN AMRO Bank, MoneYou",DE
50330000,State Bank of India,DE
50330200,MHB-Bank,DE
50330300,The Bank of New York Mellon,DE
50330500,BANQUE CHAABI DU MAROC Agentur Frankfurt Ndl. Deutschland,DE
50330600,Bank Sepah-Iran,DE
50330700,Valovis Bank,DE
50334400,The Bank of New York Mellon NL Frankfurt,DE
50400000,Bundesbank Zentrale,DE
50510111,SEB,DE
50510120,SEB TZN MB Ffm,DE
50510121,SEB TZN MB Ffm,DE
50510122,SEB TZN MB Ffm,DE
50510123,SEB TZN MB Ffm,DE
50510124,SEB TZN MB Ffm,DE
50510125,SEB TZN MB Ffm,DE
50510126,SEB TZN MB Ffm,DE
50510127,SEB TZN MB Ffm,DE
50510128,SEB TZN MB Ffm,DE
50510129,SEB TZN MB Ffm,DE
50510130,SEB TZN MB Ffm,DE
12080000,Commerzbank vormals Dresdner Bank Filiale Berlin II,DE
12090640,apoBank,DE
12096597,Sparda-Bank Berlin,DE
13000000,Bundesbank,DE
13010111,SEB,DE
13020780,UniCredit Bank - HypoVereinsbank (ehem. Hypo),DE
13040000,Commerzbank,DE
13050000,Ostseesparkasse Rostock,DE
13051042,"Kreissparkasse Rügen, Sitz Bergen",DE
13061008,Volksbank Wolgast,DE
13061028,Volksbank Raiffeisenbank ehem VB Greifswald,DE
13061078,Volks- und Raiffeisenbank,DE
13061088,Raiffeisenbank Wismar -alt-,DE
13061128,Raiffeisenbank,DE
13070000,Deutsche Bank,DE
13070024,Deutsche Bank Privat und Geschäftskunden,DE
13080000,Commerzbank vormals Dresdner Bank,DE
13090000,Rostocker Volks- und Raiffeisenbank,DE
13091054,Pommersche Volksbank,DE
13091084,Volksbank Wismar -alt-,DE
14000000,Bundesbank eh Schwerin,DE
14040000,Commerzbank,DE
14051000,Sparkasse Mecklenburg-Nordwest,DE
14051362,Sparkasse Parchim-Lübz,DE
14051462,Sparkasse Schwerin -alt-,DE
14052000,Sparkasse Mecklenburg-Schwerin,DE
14061308,Volks- und Raiffeisenbank,DE
14061438,Raiffeisen-Volksbank -alt-,DE
14080000,Commerzbank vormals Dresdner Bank,DE
14080011,Commerzbank vormals Dresdner Bank Zw W,DE
14091464,VR-Bank,DE
15000000,Bundesbank,DE
15040068,Commerzbank,DE
15050100,Müritz-Sparkasse,DE
15050200,Sparkasse Neubrandenburg-Demmin,DE
15050400,Sparkasse Uecker-Randow,DE
15050500,Sparkasse Vorpommern,DE
15051732,Sparkasse Mecklenburg-Strelitz,DE
15061618,Raiffeisenbank Mecklenburger Seenplatte,DE
15061638,Volksbank Raiffeisenbank,DE
15061658,Raiffeisenbank Pasewalk-Strasburg -alt-,DE
15061698,Raiffeisenbank Malchin,DE
15061758,Neubrandenburger Bank -alt-,DE
15080000,Commerzbank vormals Dresdner Bank,DE
15091674,Volksbank Demmin,DE
15091704,VR-Bank Uckermark-Randow,DE
16000000,Bundesbank eh Potsdam,DE
16010111,SEB,DE
16010300,Investitionsbank des Landes Brandenburg,DE
16020086,UniCredit Bank - HypoVereinsbank,DE
16040000,Commerzbank,DE
16050000,Mittelbrandenburgische Sparkasse in Potsdam,DE
16050101,Sparkasse Prignitz,DE
16050202,Sparkasse Ostprignitz-Ruppin,DE
16050500,LBS Ostdeutsche Landesbausparkasse,DE
16060122,Volks- und Raiffeisenbank Prignitz,DE
16061938,Raiffeisenbank Ostprignitz-Ruppin,DE
16062008,VR-Bank Fläming,DE
16062073,Brandenburger Bank,DE
16080000,Commerzbank vormals Dresdner Bank,DE
16091994,Volksbank Rathenow,DE
17000000,Bundesbank eh Frankfurt (Oder),DE
17020086,UniCredit Bank - HypoVereinsbank,DE
17040000,Commerzbank,DE
17052000,Sparkasse Barnim,DE
17052302,Stadtsparkasse Schwedt,DE
17054040,Sparkasse Märkisch-Oderland,DE
17055050,Sparkasse Oder-Spree,DE
17056060,Sparkasse Uckermark,DE
17062428,Raiffeisenbank-Volksbank Oder-Spree,DE
17080000,Commerzbank vormals Dresdner Bank,DE
17092404,VR Bank Fürstenwalde Seelow Wriezen,DE
18000000,Bundesbank,DE
18020086,UniCredit Bank - HypoVereinsbank,DE
18040000,Commerzbank,DE
18050000,Sparkasse Spree-Neiße,DE
18051000,Sparkasse Elbe-Elster,DE
18055000,Sparkasse Niederlausitz,DE
18062678,VR Bank Lausitz,DE
18062758,VR Bank Forst,DE
18080000,Commerzbank vormals Dresdner Bank,DE
18092684,Spreewaldbank,DE
18092744,Volksbank Spree-Neiße,DE
20000000,Bundesbank,DE
20010020,Postbank (Giro),DE
20010111,SEB,DE
20010424,Aareal Bank,DE
20020200,SEB Merchant Bank Hamburg,DE
20020500,Jyske Bank Fil Hamburg,DE
20020860,UniCredit Bank - HypoVereinsbank (ehem. Hypo),DE
20020900,Signal Iduna Bauspar,DE
20030000,UniCredit Bank - HypoVereinsbank,DE
20030300,DONNER & REUSCHEL,DE
20030400,"Marcard, Stein & Co Bankiers",DE
20030600,Sydbank Fil Hamburg,DE
20030700,Merck Finck & Co,DE
20030900,Bankhaus Wölbern & Co,DE
20040000,Commerzbank,DE
20040040,Commerzbank GF RME,DE
20040048,Commerzbank GF-H48,DE
20040050,Commerzbank GF COC,DE
20040060,Commerzbank Gf 260,DE
20040061,Commerzbank Gf 261,DE
20040062,Commerzbank CC,DE
20040063,Commerzbank CC,DE
20041111,comdirect bank,DE
20041133,comdirect bank,DE
20041144,comdirect bank,DE
20041155,comdirect bank,DE
20050000,HSH Nordbank Hamburg,DE
20050550,Hamburger Sparkasse,DE
20060000,DZ BANK,DE
20069111,Norderstedter Bank,DE
20069125,Kaltenkirchener Bank,DE
20069130,Raiffeisenbank,DE
20069144,Raiffeisenbank,DE
20069177,Raiffeisenbank Südstormarn Mölln,DE
20069232,Raiffeisenbank,DE
20069625,Volksbank,DE
20069641,Raiffeisenbank Owschlag,DE
20069659,Volksbank,DE
20069780,Volksbank Ahlerstedt,DE
20069782,Volksbank Geest,DE
20069786,Volksbank Kehdingen,DE
20069800,Spar- und Kreditbank,DE
20069812,Volksbank Fredenbeck-Oldendorf,DE
20069815,Volksbank,DE
20069861,Raiffeisenbank,DE
20069882,Raiffeisenbank Travemünde,DE
20069965,Volksbank Winsener Marsch,DE
20069989,Volksbank Wulfsen,DE
20070000,Deutsche Bank,DE
20070024,Deutsche Bank Privat und Geschäftskunden,DE
20080000,Commerzbank vormals Dresdner Bank,DE
20080055,Commerzbank vormals Dresdner Bank Zw 55,DE
20080057,Commerzbank vormals Dresdner Bank Gf ZW 57,DE
20080085,Commerzbank vormals Dresdner Bank Gf PCC DCC-ITGK 2,DE
20080086,"Commerzbank vormals Dresdner Bank, PCC DCC-ITGK 3",DE
20080087,"Commerzbank vormals Dresdner Bank, PCC DCC-ITGK 4",DE
20080088,"Commerzbank vormals Dresdner Bank, PCC DCC-ITGK 5",DE
20080089,"Commerzbank vormals Dresdner Bank, PCC DCC-ITGK 6",DE
20080091,"Commerzbank vormals Dresdner Bank, PCC DCC-ITGK 7",DE
20080092,"Commerzbank vormals Dresdner Bank, PCC DCC-ITGK 8",DE
20080093,"Commerzbank vormals Dresdner Bank, PCC DCC-ITGK 9",DE
20080094,"Commerzbank vormals Dresdner Bank, PCC DCC-ITGK 10",DE
20080095,"Commerzbank vormals Dresdner Bank, PCC DCC-ITGK 11",DE
20089200,Commerzbank vormals Dresdner Bank ITGK,DE
20090400,Deutsche Genossenschafts-Hypothekenbank,DE
20090500,netbank,DE
20090602,apoBank,DE
20090700,Edekabank,DE
20090745,EBANK Gf Cash,DE
20090900,PSD Bank Nord,DE
20110022,Postbank (Spar),DE
20110401,Eurohypo ehem Deutsche Hypothekenbank Hamburg,DE
20110700,"Bank of Tokyo-Mitsubishi UFJ, The -",DE
20110800,Bank of China Fil Hamburg,DE
20120000,"Berenberg, Joh. - Gossler & Co",DE
20120100,"Warburg, M.M.- Bank",DE
20120200,BHF-BANK,DE
20120400,Deutscher Ring Bausparkasse,DE
20120600,Goyer & Göppel,DE
20120700,Hanseatic Bank,DE
